Depth_m,RockType,Formation,NaturalGamma_API,SP_mV,SPResistance_Ohm,FluidResistivity_Ohm,Temperature_DegC,Res8_Ohm-m,Res16_Ohm-m,Res32_Ohm-m,Res64_Ohm-m,NearDensity_gcc,FarDensity_gcc,MS_mCGS
245.4,QZ_MS_B_CC_SCH,Wishart,-999,602.875,4373.55,50.359,2.96582,11471.8,20317.5,15129.5,31236.1,-999,-999,-999
245.6,QZ_MS_B_CC_SCH,Wishart,-999,601.75,4353.69,50.329,2.97852,11389.2,20203.3,15077.6,31782.4,-999,-999,-999
245.8,QZ_MS_B_CC_SCH,Wishart,-999,598.5,4341.08,50.2088,2.98926,11385.5,20184.4,15234.8,32519.9,-999,-999,-999
246,QZ_MS_B_CC_SCH,Wishart,-999,596.125,4315.59,49.9909,2.96777,11612.2,20565.8,15571.7,32610,-999,-999,-999
246.2,QZ_MS_B_CC_SCH,Wishart,-999,595.375,4327.58,49.5176,2.94531,12056,21334.3,15911.6,32196.3,-999,-999,-999
246.4,QZ_MS_B_CC_SCH,Wishart,-999,597,4420.31,50.0135,2.94922,12491.6,21929,15972.9,32100.7,-999,-999,-999
246.6,QZ_MS_B_CC_SCH,Wishart,-999,598.5,4597.73,52.147,2.95313,12674.7,22062.4,15846.3,32097.2,-999,-999,-999
246.8,QZ_MS_B_CC_SCH,Wishart,-999,596.5,4832.79,54.0402,2.92773,12687.9,21968.1,15829.8,32200.4,-999,-999,-999
247,QZ_MS_B_CC_SCH,Wishart,-999,592.75,4997.95,54.4158,2.9834,12663.2,21969.5,15832,32265.1,-999,-999,-999
247.2,QZ_MS_B_CC_SCH,Wishart,-999,-999,5040.25,54.5285,2.96875,12666.4,21976.1,15868.1,32189.8,-999,-999,-999
247.4,QZ_MS_B_CC_SCH,Wishart,-999,-999,5028.63,54.4834,2.98242,12685.3,22016.6,15892.1,32194.3,-999,-999,-999
247.6,QZ_MS_B_CC_SCH,Wishart,-999,-999,5032.43,54.3332,2.97559,12707.8,22048.4,15869.4,32058.3,-999,-999,-999
247.8,QZ_MS_B_CC_SCH,Wishart,-999,-999,5036.78,54.1904,2.98828,12714.4,22035.3,15865.1,-999,-999,-999,-999
248,QZ_MS_B_CC_SCH,Wishart,-999,-999,5045.31,54.0777,3,12709.7,22039.7,15812.9,-999,-999,-999,-999
